Patient.ID,Fraction of genome altered
PROS01448-1115161-SM-5SGU1,0.322049979318984
PROS01448-1115202-SM-5SGU5,0.586027302280745
PROS10448-1115154-SM-5EEBM,0.540070335107157
PROS10448-1115156-SM-5EEBN,0.495562538059368
SC_9007,0.00687351156542593
SC_9010,0.638334403878574
SC_9011,0.139883920107968
SC_9016,0.322779859246988
SC_9021,0.642100377017436
SC_9024,0.143656941517752
SC_9032,0.600088540085992
SC_9035,0.479313231911273
SC_9036,0.272284539699955
SC_9038,0.351149261503627
SC_9039,0.599626150888364
SC_9054,0.646498586679973
SC_9055,0.3641673682037
SC_9058,0.620406796182917
SC_9059,0.610699727104663
SC_9063,0.207501664414543
SC_9068,0.497489344049047
SC_9073,0.40580112989743
SC_9076,0.422108351741808
SC_9080,0.379454030579924
SC_9081,0.0514992573270574
SC_9084,0.572620995631972
SC_9097,0.625596937152316
SC_9099,0.56868514849521
SC_9104,0.264171604161825
SC_9109,0.376093648700308
SC_9118,0.429591360046627
SC_9123,0.218173269355526
SC_9124,0.492178509487795
SC_9126,0.389409992345124
SC_9129,0.0227542937053487
SC_9132,0.552904961472882
SC_9138,0.00123196275641343
SC_9141,0.417927121156693
SC_9142,0.0121747879573826
SC_9148,0.314968992705667
SC_9163,0.0710586897511733
SC_9165,0.0427969473142616
TP_2001,0.489810985034363
TP_2010,0.317688689571586
TP_2032,0.24922042984114
TP_2054,0.363889392068307
TP_2060,0.0917169160684885
TP_2064,0.5881056642116
TP_2069,0.22605746768493
TP_2077,0.109391243243964
TP_2078,0.651790072297157
SC_9029,0.262001327910278
SC_9030,0.750268823981704
PM10,0.0429932943723069
PM119,0.605609702034943
PM121,0.52493837862044
PM124,0.490387651391456
PM139,0.358252609139842
PM14,0.385348011525018
PM15,0.747660359387148
PM154,0.628761545448462
PM155,0.26474014535197
PM156,0.405040627422289
PM158,0.402598560336251
PM159,0.417399698696212
PM161,0.626837278514576
PM163,0.586952583944444
PM170,0.315708844733794
PM172,0.60999204635539
PM189,0.416475864264682
PM2,0.550336108392438
PM6-Halo-TM,0.767853178823327
PM78,0.247502225648721
PM9,0.192494366570424
PM90,0.230859614500225
PRAD-06115124-SM-7LGU1,0.0108397367879031
PRAD-6115381.0-SM-7LGU3,0.545817485737061
PRAD-6115383.0-SM-7LGU6,0.645759166126834
PRAD-6115385.0-SM-7LGU7,0.525548100617311
PRAD-6115386.0-SM-7LGU8,0.65806435465897
PRAD-6115387.0-SM-7LGU9,0.242719595074356
PRAD-6115388.0-SM-7LGUA,0.533666448159069
PRAD-6115389.0-SM-7LGUB,0.543442394896138
PRAD-6115390.0-SM-7LGUC,0.405664706610771
PRAD-6115391.0-SM-7LGUD,0.232635880824997
PRAD-6115392.0-SM-7LGUE,0.220349608418935
PRAD-6115393.0-SM-7LGUF,0.164641203923485
PRAD-6115394.0-SM-7LGUG,0.467680157131244
PRAD-6115395.0-SM-7LGUH,0.225374663020881
PRAD-6115396.0-SM-7LGUI,0.290315071725655
PRAD-6115397.0-SM-7LGUJ,0.438441330995034
PRAD-6115398.0-SM-7LGUK,0.593644648032245
PRAD-6115399.0-SM-7LGUL,0.474441340916392
PRAD-6115400.0-SM-7LGUM,0.259077034537979
PRAD-6115401.0-SM-7LGUO,0.00827050629859396
PRAD-6115402.0-SM-7LGUP,0.214010869098148
PRAD-6115403.0-SM-7LGUQ,0.645523370486784
PROS01448-6115219-SM-67ERS,0.721331027203754
PROS01448-6115224-SM-67ERT,0.19841722016651
PROS01448-6115227-SM-67ERU,0.162838574551957
PROS01448-6115233-SM-67ERW,0.515982419439141
PROS01448-6115234-SM-67ERX,0.342975482458695
PROS01448-6115235-SM-67ERY,0.358730788956934
PROS01448-6115237-SM-67ERZ,0.563229844542881
PROS01448-6115242-SM-67ES1,0.45817807012115
PROS01448-6115247-SM-67ES2,0.165819114118156
PROS01448-6115250-SM-67ES4,0.269289973222981
PROS01448-6115251-SM-67ES6,0.367983613894332
PROS01448-DFCI.10-448.P05-SM-581SL,0.195246870313719
PROS01448-DFCI.10-448.P15-SM-5CQ5D,0.157064484710748
PROS01448-DFCI.10-448.P20-SM-5CQ5F,0.11745284035593
PROS01448-DFCI.10-448.P22-SM-5CQ5H,0.00719539800043397
PROS01448-DFCI.10-448.P27-SM-5CQ5J,0.0415036637282697
PROS01448-DFCI.10-448.P29-SM-5CQ4S,0.162213788179165
PROS01448-DFCI.10-448.P30-SM-5CQ4V,0.0304652878133364
PROS01448-DFCI.10-448.P31-SM-5CQ5A,0.0683810047500182
